,User_Name,User_Screen_Name,Text,ID,Retweet_Count,Favorite_Count,User_ID,Language,Date,Sentiment
2583,marina,marinanovaes_,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315923482976261,3435,0,713322214,en,20,0.5994
2584,KALU,kalukalubabe,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315922736332805,3435,0,927039996850294785,en,20,0.5994
2585,Lililala,sasyhazrn,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315922207723531,3435,0,1316808614984605700,en,20,0.5994
2586,justjaliyah24,justjaliyah24,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315922182692873,3435,0,1202698787002736640,en,20,0.5994
2587,Lawrencia ❤️,EmpereLawrencia,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315916180697089,3435,0,1261711353305354242,en,20,0.5994
2588,ChangesJB,StrongJBFamily,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315913085227016,3435,0,1318555878,en,20,0.5994
2589,VISHU Is LONELY😔,bizzledreadstin,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315912527343617,3435,0,956523707312226306,en,20,0.5994
2590,케이트🇰🇷,dis_easebside,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315909738135552,3435,0,1006850683989979138,en,20,0.5994
2591,Jane_t91🇲🇽somebody es mía 🌺,ibiebstylesltm,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315909557846019,3435,0,1160308177147191296,en,20,0.5994
2592,Belieber,catiiixa,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315908039495680,3435,0,280573699,en,20,0.5994
2593,angela | JB6,angebieber28,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315904767995908,3435,0,4822924984,en,20,0.5994
2594,BieberRoots Portugal ✞,BieberRootsPT,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315899353133056,3435,0,2850209997,en,20,0.5994
2595,"china, yastin t amo",DxCxntx,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315895204921346,3435,0,1074883782,en,20,0.5994
2596,jazzy ✞,bieberkilledby2,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315891824369667,3435,0,1366976684185055233,en,20,0.5994
2597,Cici ♡s Wala'a⁷ 🖤,koosmillks,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315887651028996,3435,0,791053319976255488,en,20,0.5994
2598,Sophia Skyla,hanniezsf,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315885402787849,3435,0,1199873714461933568,en,20,0.5994
2599,TAWANshine🌴__th,MyTawanshine,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315882378616832,3435,0,307946046,en,20,0.5994
2600,Nelly Vásquez,NellySofia25,"RT @Target: Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuX…",1373315876640931841,3435,0,1948043550,en,20,0.5994
